category,subcategory,code,name,type,meaning,question,cleaning_plan,cleaning_actual,new_variable
2,OA_m,OA8h,minimal_salary_h,logical,"0 = No, 1 = Yes",What if the monthly salary is 1300 birr?,recode 0 as NA and 1 as the corresponding minimal salary. store the nonzero minimum as minimal_salary,done,minimal_salary
2,OA_m,OA8i,minimal_salary_i,logical,"0 = No, 1 = Yes",What if the monthly salary is 1400 birr?,recode 0 as NA and 1 as the corresponding minimal salary. store the nonzero minimum as minimal_salary,done,minimal_salary
2,OA_m,OA8j,minimal_salary_j,logical,"0 = No, 1 = Yes",What if the monthly salary is 1500 birr?,recode 0 as NA and 1 as the corresponding minimal salary. store the nonzero minimum as minimal_salary,done,minimal_salary
2,OA_m,OA8k,minimal_salary_k,logical,"0 = No, 1 = Yes",What if the monthly salary is 1600 birr?,recode 0 as NA and 1 as the corresponding minimal salary. store the nonzero minimum as minimal_salary,done,minimal_salary
2,OA_m,OA8l,minimal_salary_l,logical,"0 = No, 1 = Yes",What if the monthly salary is 1700 birr?,recode 0 as NA and 1 as the corresponding minimal salary. store the nonzero minimum as minimal_salary,done,minimal_salary
2,OA_m,OA8m,minimal_salary_m,logical,"0 = No, 1 = Yes",What if the monthly salary is 1800 birr?,recode 0 as NA and 1 as the corresponding minimal salary. store the nonzero minimum as minimal_salary,done,minimal_salary
2,OA_m,OA8n,minimal_salary_n,logical,"0 = No, 1 = Yes",What if the monthly salary is 1900 birr?,recode 0 as NA and 1 as the corresponding minimal salary. store the nonzero minimum as minimal_salary,done,minimal_salary
2,OA_m,OA8o,minimal_salary_o,logical,"0 = No, 1 = Yes",What if the monthly salary is 2000 birr?,recode 0 as NA and 1 as the corresponding minimal salary. store the nonzero minimum as minimal_salary,done,minimal_salary
2,OB_m,OB2,guess_out_salary_1y,integer,monthly salary in birr,"For an average worker, what would be the average monthly salary in this hypothetical job as an entry-level worker who works after 6 months and less than 2 years?","trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,OB_m,OB2c,guess_out_salary_1y_com,factor,"0 = No, 1 = Yes, 100 = Not sure","Is it common outside the industrial park that if you stay in the job as an entry-level worker after a few months or years, you will get a higher salary?",,,
2,OB_m,OB3,guess_out_promote,integer,entry-level workers promoted per 100,"Out of 100 average entry-level workers who stay in this hypothetical job for 6 months and less than 2 years, how many of them can be promoted to a higher position?",trim all observations >100,done,
2,OB_m,OB4,guess_out_salary_super,integer,monthly salary in birr,"For an average worker, what would be the monthly salary if she gets promoted into a higher position after 6 months and less than 2 years?","trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,OB_m,OB4c,guess_out_promote_com,factor,"0 = No, 1 = Yes, 100 = Not sure",Is it common outside the industrial park that you have a chance to be promoted after a few months or a year?,,,
2,OC_m,OC1,jobaspect_first,factor,"10 = Salary as an entry-level worker in the first month, 11 = Salary as an entry-level worker after 6 months, 12 = Chance of promotion to a higher level after 6 months, 13 = Salary in the higher level, 2 = Provide good work benefit, 3 = Reasonable work hours, 4 = The task is interesting, 5 = Skill development, 6 = Good management, 100 = Others",What are the three most important job aspects you care about a job? (first),,,
2,OC_m,OC1,jobaspect_first_other,character,other job aspect,"What are the three most important job aspects you care about a job? (first, other)",,,
2,OC_m,OC1,jobaspect_second,factor,"10 = Salary as an entry-level worker in the first month, 11 = Salary as an entry-level worker after 6 months, 12 = Chance of promotion to a higher level after 6 months, 13 = Salary in the higher level, 2 = Provide good work benefit, 3 = Reasonable work hours, 4 = The task is interesting, 5 = Skill development, 6 = Good management, 100 = Others",What are the three most important job aspects you care about a job? (second),,,
2,OC_m,OC1,jobaspect_second_other,character,other job aspect,"What are the three most important job aspects you care about a job? (second, other)",,,
2,OC_m,OC1,jobaspect_third,factor,"10 = Salary as an entry-level worker in the first month, 11 = Salary as an entry-level worker after 6 months, 12 = Chance of promotion to a higher level after 6 months, 13 = Salary in the higher level, 2 = Provide good work benefit, 3 = Reasonable work hours, 4 = The task is interesting, 5 = Skill development, 6 = Good management, 100 = Others",What are the three most important job aspects you care about a job? (third),,,
2,OC_m,OC1,jobaspect_third_other,character,other job aspect,"What are the three most important job aspects you care about a job? (third, other)",,,
2,IA_m,IA1,guess_hip_task,factor,"0 = Sewing, 1 = Quality check, 2 = Team leaders, 3 = Supervisors, 100 = Others",What task do you expect to be assigned?,,,
2,IA_m,IA1o,guess_hip_task_other,character,other task,What task do you expect to be assigned? (other),,,
2,IA_m,IA2,hip_knowppl,integer,number of people,How many people do you know have worked in this industrial park before?,,,
2,IA_m,IA3,hip_knowppl_like,factor,"0 = Almost all of them, 1 = Some of them, 2 = Very few of them, 3 = Almost none of them","Among these people you know, how many of them like this job?",,,
2,IA_m,IA5,guess_hip_turnover,integer,workers out of 100,"Out of 100 people who start working with you, how many of those will be still working in this industrial park after 1 month?",,,
2,IA_m,IA5s,guess_hip_turnover_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you about your answer above?,,,
2,IB_m,IB1,guess_hip_hour,integer,hours per day,How many hours per day on average are all workers supposed to work?,,,
2,IB_m,IB1s,guess_hip_hour_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_m,IB2,guess_hip_day,integer,days per week,How many days per week on average are all workers supposed to work?,trim all observations >22,done,
2,IB_m,IB2s,guess_hip_day_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_m,IB3,guess_hip_extra,integer,overtime hours per week,How many overtime hours per week on average do workers work?,,,
2,IB_m,IB3s,guess_hip_extra_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_m,IB4,guess_hip_night,integer,night shifts per month,How many night shifts per month do workers work on average?,trim all observations >22,done,
2,IB_m,IB4s,guess_hip_night_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_m,IB5,guess_hip_transp,integer,firms out of 22,"Out of 22 firms in the industrial park, how many of them provide free transportation every day?",,,
2,IB_m,IB5s,guess_hip_transp_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_m,IB6,guess_hip_lunch,integer,firms out of 22,"Out of 22 firms in the industrial park, how many of them provide free breakfast or lunch every day?",trim all observations >22,done,
2,IB_m,IB6s,guess_hip_lunch_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_m,IB7,guess_hip_attend,integer,firms out of 22,"Out of 22 firms in the industrial park, how many of them provide additional income if you don't miss any day of work?",,,
2,IB_m,IB7s,guess_hip_attend_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IC_m,IC1,guess_entry_salary,integer,monthly salary in birr,What is the average monthly salary for an entry-level operator in the first month?,"trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,IC_m,IC1s,guess_entry_salary_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IC_m,IC2,guess_entry_salary_6m,integer,monthly salary in birr,What is the average monthly salary for an entry-level operator after 6 months and less than 2 years?,"trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,IC_m,IC2s,guess_entry_salary_6m_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IC_m,IC3,guess_entry_pct,integer,entry-level workers assigned per 100,We have 100 new workers today. How many of them will be assigned as entry-level operators at the beginning?,trim all observations >100,done,
2,IC_m,IC3s,guess_entry_pct_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IC_m,IC4,guess_entry_pct_you,factor,"0 = Likely, 1 = Somewhat likely, 2 = Somewhat unlikely, 3 = Very unlikely",How likely do you think you will be an entry-level operator in the first month?,,,
2,IC_m,IC5,guess_you_salary_1m,integer,monthly salary in birr,What is the salary you expect to earn in the first month?,"trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,ID_m,ID1,guess_promote_medium,integer,entry-level workers promoted per 100,"Out of 100 entry-level workers who stay in the industrial park for more than 6 months but less than 2 years, how many of those will be promoted to a medium position (quality control or team leaders)?",trim all observations >100,done,
2,ID_m,ID1s,guess_promote_medium_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,ID_m,ID2,guess_promote_sp,integer,entry-level workers promoted per 100,"Out of 100 entry-level workers who stay in the industrial park for more than 6 months but less than 2 years, how many of those will be promoted to a high position, supervisors?",trim all observations >100,done,
2,ID_m,ID2s,guess_promote_sp_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,ID_m,ID3,guess_salary_medium,integer,monthly salary in birr,What is the average monthly salary in a medium position (quality control or team leaders after 6 months and less than 2 years?,"trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,ID_m,ID3s,guess_salary_medium_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,ID_m,ID4,guess_salary_sp,integer,monthly salary in birr,"What is the average monthly salary of a high position, supervisor after 6 months and less than 2 years?","trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,ID_m,ID4s,guess_salary_sp_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,ID_m,ID5,guess_you_promote_medium,factor,"0 = Likely, 1 = Somewhat likely, 2 = Somewhat unlikely, 3 = Very unlikely",How likely do you think you will be promoted to a medium position (quality control or team leaders) after 6 months and within 2 years?,,,
2,ID_m,ID6,guess_you_promote_sp,factor,"0 = Likely, 1 = Somewhat likely, 2 = Somewhat unlikely, 3 = Very unlikely","How likely do you think you will be promoted to the highest position, supervisor after 6 months and within 2 years?",,,
2,ID_m,ID7,guess_you_salary_6m,integer,monthly salary in birr,What is the monthly salary you expect to earn after 6 months and within 2 years?,,,
2,IT_m,IT1a,info_entry_choice1,logical,"0 = Information about average salary for entry-level operators, 1 = 10 birr","If you are offered the following two options, which one would you choose?",,,
2,IT_m,IT1b,info_entry_choice2,logical,"0 = Information about average salary for entry-level operators, 1 = 20 birr","If you are offered the following two options, which one would you choose?",,,
2,IT_m,IT1c,info_entry_choice3,logical,"0 = Information about average salary for entry-level operators, 1 = 40 birr","If you are offered the following two options, which one would you choose?",,,
2,IT_m,IT1d,info_entry_choice4,logical,"0 = Information about average salary for entry-level operators, 1 = 80 birr","If you are offered the following two options, which one would you choose?",,,
2,IT_m,IT1e,info_entry_choice5,logical,"0 = Information about average salary for entry-level operators, 1 = 160 birr","If you are offered the following two options, which one would you choose?",,,
2,IT_m,IT2a,info_promote_choice1,logical,"0 = Information about promotion, 1 = 10 birr","If you are offered the following two options, which one would you choose?",,,
2,IT_m,IT2b,info_promote_choice2,logical,"0 = Information about promotion, 1 = 20 birr","If you are offered the following two options, which one would you choose?",,,
2,IT_m,IT2c,info_promote_choice3,logical,"0 = Information about promotion, 1 = 40 birr","If you are offered the following two options, which one would you choose?",,,
2,IT_m,IT2d,info_promote_choice4,logical,"0 = Information about promotion, 1 = 80 birr","If you are offered the following two options, which one would you choose?",,,
2,IT_m,IT2e,info_promote_choice5,logical,"0 = Information about promotion, 1 = 160 birr","If you are offered the following two options, which one would you choose?",,,
2,IB_w,IB1,w_guess_hip_hour,integer,hours per day,How many hours per day on average are all workers supposed to work?,,,
2,IB_w,IB1s,w_guess_hip_hour_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_w,IB2,w_guess_hip_day,integer,days per week,How many days per week on average are all workers supposed to work?,,,
2,IB_w,IB2s,w_guess_hip_day_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_w,IB3,w_guess_hip_extra,integer,overtime hours per week,How many overtime hours per week on average do workers work?,,,
2,IB_w,IB3s,w_guess_hip_extra_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_w,IB4,w_guess_hip_night,integer,night shifts per month,How many night shifts per month do workers work on average?,,,
2,IB_w,IB4s,w_guess_hip_night_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_w,IB5,w_guess_hip_transp,integer,firms out of 22,"Out of 22 firms in the industrial park, how many of them do you think provide free transportation every day?",,,
2,IB_w,IB5s,w_guess_hip_transp_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_w,IB6,w_guess_hip_lunch,integer,firms out of 22,"Out of 22 firms in the industrial park, how many of them do you think provide free breakfast or lunch every day?",,,
2,IB_w,IB6s,w_guess_hip_lunch_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IB_w,IB7,w_guess_hip_attend,integer,firms out of 22,"Out of 22 firms in the industrial park, how many of them do you think provide additional income if you don't miss any day of work?",,,
2,IB_w,IB7s,w_guess_hip_attend_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IC_w,IC1,w_guess_entry_salary,integer,monthly salary in birr,What is the average monthly salary for an entry-level operator in the first month?,"trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,IC_w,IC1s,w_guess_entry_salary_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IC_w,IC2,w_guess_entry_salary_6m,integer,monthly salary in birr,What is the average monthly salary for an entry-level operator after 6 months and less than 2 years?,"trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,IC_w,IC2s,w_guess_entry_salary_6m_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IC_w,IC3,w_guess_entry_pct,integer,entry-level workers assigned per 100,We have 100 new workers today. How many of them will be assigned as entry-level operators at the beginning?,,,
2,IC_w,IC3s,w_guess_entry_pct_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,IC_w,IC4,w_guess_entry_pct_you,factor,"0 = Likely, 1 = Somewhat likely, 2 = Somewhat unlikely, 3 = Very unlikely",How likely do you think you will be an entry-level operator in the first month?,,,
2,IC_w,IC5,w_guess_you_salary_1m,integer,monthly salary in birr,What is the salary you expect to earn in the first month?,"trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,ID_w,ID1,w_guess_promote_medium,integer,entry-level workers promoted per 100,"Out of 100 entry-level workers who stay in the industrial park for more than 6 months but less than 2 years, how many of those will be promoted to a medium position (quality control or team leaders)?",,,
2,ID_w,ID1s,w_guess_promote_medium_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,ID_w,ID2,w_guess_promote_sp,integer,entry-level workers promoted per 100,"Out of 100 entry-level workers who stay in the industrial park for more than 6 months but less than 2 years, how many of those will be promoted to a high position, supervisors?",,,
2,ID_w,ID2s,w_guess_promote_sp_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,ID_w,ID3,w_guess_salary_medium,integer,monthly salary in birr,What is the average monthly salary in a medium position (quality control or team leaders after 6 months and less than 2 years?,"trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,ID_w,ID3s,w_guess_salary_medium_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,ID_w,ID4,w_guess_salary_sp,integer,monthly salary in birr,"What is the average monthly salary of a high position, supervisor after 6 months and less than 2 years?","trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,ID_w,ID4s,w_guess_salary_sp_sure,factor,"0 = Very sure, 1 = Slightly sure, 2 = Slightly not sure, 3 = Not sure at all",How sure are you?,,,
2,ID_w,ID5,w_guess_you_promote_medium,factor,"0 = Likely, 1 = Somewhat likely, 2 = Somewhat unlikely, 3 = Very unlikely",How likely do you think you will be promoted to a medium position (quality control or team leaders) after 6 months and within 2 years?,,,
2,ID_w,ID6,w_guess_you_promote_sp,factor,"0 = Likely, 1 = Somewhat likely, 2 = Somewhat unlikely, 3 = Very unlikely","How likely do you think you will be promoted to the highest position, supervisor after 6 months and within 2 years?",,,
2,ID_w,ID7,w_guess_you_salary_6m,integer,monthly salary in birr,What is the monthly salary you expect to earn after 6 months and within 2 years?,"trim all observations <1th percentile, winsorize all observations >99th percentile",,
2,IA_w,IA0,interact_roommate,factor,"0 = Frequently every day, 1 = Sometimes every day, 2 = Once every day, 3 = A few times a week, 4 = Once a week, 6 = Never, -8 = I'm not sure",How often do you communicate with your housemates?,,,
2,IA_w,IA1,interact_coworkers,factor,"0 = Frequently every day, 1 = Sometimes every day, 2 = Once every day, 3 = A few times a week, 4 = Once a week, 6 = Never, -8 = I'm not sure",How often do you communicate with your coworkers in the same team?,,,
2,IA_w,IA2,interact_coworkers_out,factor,"0 = Frequently every day, 1 = Sometimes every day, 2 = Once every day, 3 = A few times a week, 4 = Once a week, 6 = Never, -8 = I'm not sure",How often do you communicate with your coworkers who are not in your team?,,,
2,IA_w,IA2n,interact_coworkers_wel,factor,"0 = Not welcomed at all, 1 = Somewhat not welcomed, 2 = Somewhat welcomed, 3 = Very welcomed",Do you feel welcomed by your co-workers?,,,
2,IA_w,IA2o,interact_coworkers_salary,factor,"0 = Frequently every day, 1 = Sometimes every day, 2 = Once every day, 3 = A few times a week, 4 = Once a week, 6 = Never, -8 = I'm not sure",How often do you talk about salary with your coworkers?,,,
2,IA_w,IA3,interact_supervisor,factor,"0 = Frequently every day, 1 = Sometimes every day, 2 = Once every day, 3 = A few times a week, 4 = Once a week, 6 = Never, -8 = I'm not sure",How often do you communicate with your supervisor?,,,
2,IA_w,IA3n,interact_supervisor_wel,factor,"0 = Not welcomed at all, 1 = Somewhat not welcomed, 2 = Somewhat welcomed, 3 = Very welcomed",Do you feel welcomed by your supervisor?,,,
2,IA_w,IA3o,interact_supervisor_salary,factor,"0 = Frequently every day, 1 = Sometimes every day, 2 = Once every day, 3 = A few times a week, 4 = Once a week, 6 = Never, -8 = I'm not sure",How often do you talk about salary with your supervisor?,,,
2,IA_w,IA4,interact_hrmanager,factor,"0 = Frequently every day, 1 = Sometimes every day, 2 = Once every day, 3 = A few times a week, 4 = Once a week, 6 = Never, -8 = I'm not sure",How often do you communicate with your HR manager?,,,
2,IA_w,IA4n,interact_hrmanager_wel,factor,"0 = Not welcomed at all, 1 = Somewhat not welcomed, 2 = Somewhat welcomed, 3 = Very welcomed",Do you feel welcomed by your HR manager?,,,
2,IA_w,IA4o,interact_hrmanager_salary,factor,"0 = Frequently every day, 1 = Sometimes every day, 2 = Once every day, 3 = A few times a week, 4 = Once a week, 6 = Never, -8 = I'm not sure",How often do you talk about salary with your HR manager?,,,
2,IA_w,IA5,interact_manager,factor,"0 = Frequently every day, 1 = Sometimes every day, 2 = Once every day, 3 = A few times a week, 4 = Once a week, 6 = Never, -8 = I'm not sure",How often do you communicate with your other managers?,,,
2,IA_w,IA5n,interact_manager_wel,factor,"0 = Not welcomed at all, 1 = Somewhat not welcomed, 2 = Somewhat welcomed, 3 = Very welcomed",Do you feel welcomed by your other managers?,,,
2,IA_w,IA5o,interact_manager_salary,factor,"0 = Frequently every day, 1 = Sometimes every day, 2 = Once every day, 3 = A few times a week, 4 = Once a week, 6 = Never, -8 = I'm not sure",How often do you talk about salary with your other managers?,,,
2,IA_w,IA6,interact_break,factor,"0 = No, 1 = Yes, 100 = Not sure",Are you allowed to take a short break during work time?,,,
